,PDB ID,Datablock Name,Chain ID,Ligand ID,Ligand Name,Ligand SMILES
0,1AG9,1AG9,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
1,1AG9,1AG9,A,,SODIUM ION,[Na+]
2,1AG9,1AG9,B,BTB,"2-[BIS-(2-HYDROXY-ETHYL)-AMINO]-2-HYDROXYMETHYL-PROPANE-1,3-DIOL",C(CO)N(CCO)C(CO)(CO)CO
3,1AG9,1AG9,B,CA,CALCIUM ION,[Ca+2]
4,1AG9,1AG9,B,CL,CHLORIDE ION,[Cl-]
5,1AG9,1AG9,A,BTB,"2-[BIS-(2-HYDROXY-ETHYL)-AMINO]-2-HYDROXYMETHYL-PROPANE-1,3-DIOL",C(CO)N(CCO)C(CO)(CO)CO
6,1AG9,1AG9,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
7,1AG9,1AG9,B,,SODIUM ION,[Na+]
8,1AG9,1AG9,A,CA,CALCIUM ION,[Ca+2]
9,1AG9,1AG9,A,CL,CHLORIDE ION,[Cl-]
10,1AHN,1AHN,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
11,1AHN,1AHN,A,CA,CALCIUM ION,[Ca+2]
12,1AKQ,1AKQ,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
13,1AKR,1AKR,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
14,1AKT,1AKT,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
15,1AKU,1AKU,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
16,1AKU,1AKU,A,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
17,1AKV,1AKV,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
18,1AKV,1AKV,A,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
19,1AKW,1AKW,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
